Male_colony	Female_colony	Unfertilized_eggs	Mutants	Embryos	Cross	Category	Fertilization_ratio	FR_percentage
na	32	91	0	2	control_self	control-bifurcata	0.02	2.15
na	34	55	0	0	control_self	control-bifurcata	0	0
na	26	75	0	0	control_self	control-cytherea	0	0
na	29	42	0	0	control_self	control-cytherea	0	0
na	21	100	0	0	control_self	control-hyacinthus	0	0
na	23	65	0	0	control_self	control-hyacinthus	0	0
32	26	120	0	0	interspecific cross	bifurcata-cytherea	0	0
34	26	85	0	0	interspecific cross	bifurcata-cytherea	0	0
32	29	75	0	0	interspecific cross	bifurcata-cytherea	0	0
34	29	55	0	0	interspecific cross	bifurcata-cytherea	0	0
26	32	75	0	3	interspecific cross	bifurcata-cytherea	0.04	3.85
29	32	35	0	0	interspecific cross	bifurcata-cytherea	0	0
26	34	85	0	0	interspecific cross	bifurcata-cytherea	0	0
29	34	85	0	0	interspecific cross	bifurcata-cytherea	0	0
32	21	100	0	0	interspecific cross	hyacinthus-bifurcata	0	0
34	21	78	0	1	interspecific cross	hyacinthus-bifurcata	0.01	0.64
32	23	95	0	1	interspecific cross	hyacinthus-bifurcata	0.01	0.52
34	23	80	0	0	interspecific cross	hyacinthus-bifurcata	0	0
21	32	47	0	0	interspecific cross	hyacinthus-bifurcata	0	0
23	32	86	0	1	interspecific cross	hyacinthus-bifurcata	0.01	0.58
21	34	104	0	0	interspecific cross	hyacinthus-bifurcata	0	0
23	34	130	0	0	interspecific cross	hyacinthus-bifurcata	0	0
26	21	95	0	0	interspecific cross	hyacinthus-cytherea	0	0
29	21	55	0	1	interspecific cross	hyacinthus-cytherea	0.02	1.79
26	23	45	0	0	interspecific cross	hyacinthus-cytherea	0	0
29	23	55	0	0	interspecific cross	hyacinthus-cytherea	0	0
21	26	100	1	0	interspecific cross	hyacinthus-cytherea	0	0
23	26	70	0	0	interspecific cross	hyacinthus-cytherea	0	0
21	29	45	0	0	interspecific cross	hyacinthus-cytherea	0	0
23	29	90	0	0	interspecific cross	hyacinthus-cytherea	0	0
34	32	1	0	95	intraspecific cross	bifurcata-bifurcata	0.99	98.96
32	34	0	0	95	intraspecific cross	bifurcata-bifurcata	1	100
29	26	3	0	100	intraspecific cross	cytherea-cytherea	0.97	97.09
26	29	5	0	68	intraspecific cross	cytherea-cytherea	0.93	93.1
23	21	0	0	111	intraspecific cross	hyacinthus-hyacinthus	1	100
21	23	2	0	78	intraspecific cross	hyacinthus-hyacinthus	0.98	97.5
32	32	73	0	2	self	self-bifurcata	0.03	2.68
34	34	63	0	1	self	self-bifurcata	0.02	1.57
26	26	100	0	0	self	self-cytherea	0	0
29	29	71	0	1	self	self-cytherea	0.01	0.7
21	21	85	0	0	self	self-hyacinthus	0	0
23	23	80	0	2	self	self-hyacinthus	0.02	1.84
